county,totalcountconfirmed,
Santa Clara,151,
Santa Clara,183,
Santa Clara,246,
Santa Clara,269,
Santa Clara,284,
Santa Clara,336,
Santa Clara,389,
Santa Clara,452,
Santa Clara,487,
Santa Clara,557,
Santa Clara,587,
Santa Clara,591,
Santa Clara,745,
Santa Clara,777,
Santa Clara,805,
Santa Clara,908,
Santa Clara,983,
Santa Clara,1045,
Santa Clara,1052,
Santa Clara,1128,
Santa Clara,1193,
Santa Clara,1257,
Santa Clara,1301,
Santa Clara,1351,
Santa Clara,1441,
Santa Clara,1461,
Santa Clara,1542,
Santa Clara,1561,
Santa Clara,1692,
Santa Clara,1789,
Santa Clara,1834,
Santa Clara,1862,
Santa Clara,1878,
Santa Clara,1920,
Santa Clara,1943,
Santa Clara,1969,
Santa Clara,1996,
Santa Clara,2026,
Santa Clara,2045,
Santa Clara,2097,
Santa Clara,2104,
Santa Clara,2130,
Santa Clara,2147,
Santa Clara,2172,
Santa Clara,2176,
Santa Clara,2203,
Santa Clara,2235,
Santa Clara,2238,
Santa Clara,2249,
Santa Clara,2270,
Santa Clara,2281,
Santa Clara,2285,
Santa Clara,2317,
Santa Clara,2331,
Santa Clara,2340,
Santa Clara,2362,
Santa Clara,2370,
Santa Clara,2380,
Santa Clara,2395,
Santa Clara,2420,
Santa Clara,2453,
Santa Clara,2468,
Santa Clara,2480,
Santa Clara,2508,
Santa Clara,2520,
Santa Clara,2537,
Santa Clara,2593,
Santa Clara,2623,
Santa Clara,2647,
Santa Clara,2659,
Santa Clara,2680,
Santa Clara,2698,
Santa Clara,2707,
Santa Clara,2741,
Santa Clara,2785,
Santa Clara,2797,
Santa Clara,2819,
Santa Clara,2836,
Santa Clara,2871,
Santa Clara,2902,
Santa Clara,2934,
Santa Clara,2947,
Santa Clara,2971,
Santa Clara,3006,
Santa Clara,3032,
Santa Clara,3049,
Santa Clara,3099,
Santa Clara,3141,
Santa Clara,3178,
Santa Clara,3204,
Santa Clara,3228,
Santa Clara,3264,
Santa Clara,3338,
Santa Clara,3376,
Santa Clara,3435,
Santa Clara,3514,
Santa Clara,3580,
Santa Clara,3700,
Santa Clara,3812,
Santa Clara,3883,
Santa Clara,3985,
Santa Clara,4043,
Santa Clara,4193,
Santa Clara,4372,
Santa Clara,4476,
Santa Clara,4545,
Santa Clara,4722,
Santa Clara,4820,
Santa Clara,5045,
Santa Clara,5237,
Santa Clara,5369,
Santa Clara,5438,
Santa Clara,5510,
Santa Clara,5638,
Santa Clara,5819,
Santa Clara,5959,
Santa Clara,6252,
Santa Clara,6488,
Santa Clara,6686,
Santa Clara,6900,
Santa Clara,6990,
Santa Clara,7080,
Santa Clara,7255,
Santa Clara,7403,
Santa Clara,7711,
Santa Clara,7989,
Santa Clara,8266,
Santa Clara,8458,
Santa Clara,8658,
Santa Clara,8767,
Santa Clara,8986,
Santa Clara,9157,
Santa Clara,9307,
Santa Clara,9567,
Santa Clara,9708,
Santa Clara,9863,
Santa Clara,10281,
Santa Clara,10577,
Santa Clara,10747,
Santa Clara,10986,
Santa Clara,11074,
Santa Clara,11280,
Santa Clara,11409,
Santa Clara,11615,
Santa Clara,11878,
Santa Clara,12615,
Santa Clara,12920,
Santa Clara,13002,
Santa Clara,13257,
Santa Clara,13785,
Santa Clara,14105,
Santa Clara,14329,
Santa Clara,14546,
Santa Clara,14786,
Santa Clara,14994,
Santa Clara,15162,
Santa Clara,15399,
Santa Clara,15590,
Santa Clara,15912,
Santa Clara,16049,
Santa Clara,16199,
Santa Clara,16283,
Santa Clara,16495,
Santa Clara,16696,
Santa Clara,16898,
Santa Clara,17045,
Santa Clara,17211,
Santa Clara,17319,
Santa Clara,17673,
Santa Clara,17879,
Santa Clara,18074,
Santa Clara,18311,
Santa Clara,18495,
Santa Clara,18596,
Santa Clara,18645,
Santa Clara,18759,
Santa Clara,18870,
Santa Clara,19065,
Santa Clara,19330,
Santa Clara,19456,
Santa Clara,19545,
Santa Clara,19610,
Santa Clara,19684,
Santa Clara,19825,
Santa Clara,20058,
Santa Clara,20170,
Santa Clara,20330,
Santa Clara,20432,
Santa Clara,20514,
Santa Clara,20575,
Santa Clara,20689,
Santa Clara,20812,
Santa Clara,20967,
Santa Clara,21091,
Santa Clara,21180,
Santa Clara,21233,
Santa Clara,21318,
Santa Clara,21398,
Santa Clara,21545,
Santa Clara,21672,
Santa Clara,21780,
Santa Clara,21861,
Santa Clara,21914,
Santa Clara,21993,
Santa Clara,22095,
Santa Clara,22251,
Santa Clara,22354,
Santa Clara,22487,
Santa Clara,22578,
Santa Clara,22678,
Santa Clara,22735,
Santa Clara,22808,
Santa Clara,22920,
Santa Clara,22997,
Santa Clara,23169,
Santa Clara,23301,
Santa Clara,23406,
Santa Clara,23537,
Santa Clara,23621,
Santa Clara,23822,
Santa Clara,23978,
Santa Clara,24087,
Santa Clara,24258,
Santa Clara,24368,
Santa Clara,24503,
Santa Clara,24614,
Santa Clara,24811,
