city,state_id,state_name,lat,lng,population
Anchorage,AK,Alaska,61.1508,-149.1091,247949
Fairbanks,AK,Alaska,64.8353,-147.6534,63245
Juneau,AK,Alaska,58.4546,-134.1739,25085
Badger,AK,Alaska,64.8006,-147.3877,18792
Knik-Fairview,AK,Alaska,61.4964,-149.6535,17513
College,AK,Alaska,64.8694,-147.8217,13709
Wasilla,AK,Alaska,61.577,-149.466,10838
Ketchikan,AK,Alaska,55.3556,-131.6698,10652
Tanaina,AK,Alaska,61.656,-149.4272,10520
Kodiak,AK,Alaska,57.7934,-152.406,8851
Kalifornsky,AK,Alaska,60.4417,-151.1972,8134
Meadow Lakes,AK,Alaska,61.638,-149.608,7656
Palmer,AK,Alaska,61.5971,-149.1147,7456
Soldotna,AK,Alaska,60.4862,-151.0672,7398
Steele Creek,AK,Alaska,64.9295,-147.3955,7380
Gateway,AK,Alaska,61.5737,-149.2389,7037
Sitka,AK,Alaska,57.2401,-135.3153,6720
Fishhook,AK,Alaska,61.711,-149.2657,6203
Homer,AK,Alaska,59.653,-151.5255,5922
Chena Ridge,AK,Alaska,64.7941,-148.0357,5903
Farmers Loop,AK,Alaska,64.9061,-147.6957,5535
Kenai,AK,Alaska,60.5619,-151.1985,5411
Sterling,AK,Alaska,60.5405,-150.8089,5321
Bethel,AK,Alaska,60.7928,-161.7917,4803
Nikiski,AK,Alaska,60.7152,-151.2317,4575
Utqiagvik,AK,Alaska,71.2728,-156.7575,4467
Unalaska,AK,Alaska,53.8984,-166.568,4432
Goldstream,AK,Alaska,64.9339,-148.0083,4389
Butte,AK,Alaska,61.5539,-149.0035,3929
Valdez,AK,Alaska,61.0963,-146.2596,3855
Nome,AK,Alaska,64.5213,-165.4053,3466
Kotzebue,AK,Alaska,66.8766,-162.5231,3245
Petersburg,AK,Alaska,56.7566,-132.8727,3106
Eielson AFB,AK,Alaska,64.6741,-147.0605,2979
Seward,AK,Alaska,60.1124,-149.3925,2796
Big Lake,AK,Alaska,61.526,-149.972,2765
Ridgeway,AK,Alaska,60.5305,-151.0301,2617
Deltana,AK,Alaska,63.8724,-145.2158,2613
Wrangell,AK,Alaska,56.3317,-132.0223,2502
Houston,AK,Alaska,61.6159,-149.8003,2412
Dillingham,AK,Alaska,59.055,-158.5379,2360
Cordova,AK,Alaska,60.5348,-145.6092,2169
Willow,AK,Alaska,61.8157,-149.753,2126
North Pole,AK,Alaska,64.753,-147.36,2094
Anchor Point,AK,Alaska,59.7703,-151.7052,2093
Fritz Creek,AK,Alaska,59.747,-151.2884,1956
Prudhoe Bay,AK,Alaska,70.3128,-148.6955,1893
Haines,AK,Alaska,59.2417,-135.4549,1870
Lazy Mountain,AK,Alaska,61.6516,-148.902,1800
Metlakatla,AK,Alaska,55.1182,-131.5689,1635
Sutton-Alpine,AK,Alaska,61.7429,-148.8542,1586
Bear Creek,AK,Alaska,60.2071,-149.3524,1465
Kodiak Station,AK,Alaska,57.7451,-152.5443,1354
Ester,AK,Alaska,64.8646,-148.0916,1312
Diamond Ridge,AK,Alaska,59.7024,-151.5545,1285
Craig,AK,Alaska,55.4913,-133.1165,1262
Funny River,AK,Alaska,60.4873,-150.7808,1251
Hooper Bay,AK,Alaska,61.5262,-166.1146,1227
Cohoe,AK,Alaska,60.2681,-151.2843,1217
Tok,AK,Alaska,63.329,-143.0379,1160
Farm Loop,AK,Alaska,61.6394,-149.1471,1137
Chevak,AK,Alaska,61.5295,-165.5943,1077
Sand Point,AK,Alaska,55.3227,-160.4834,1064
Akutan,AK,Alaska,54.1594,-165.7328,1041
Healy,AK,Alaska,63.9454,-149.0152,1022
Salamatof,AK,Alaska,60.6154,-151.3159,1015
Skagway,AK,Alaska,59.4566,-135.2927,1005
King Cove,AK,Alaska,55.0858,-162.2978,1000
Salcha,AK,Alaska,64.5272,-146.904,995
Point MacKenzie,AK,Alaska,61.3463,-150.0787,976
Womens Bay,AK,Alaska,57.696,-152.6276,967
Talkeetna,AK,Alaska,62.2753,-150.0814,965
Delta Junction,AK,Alaska,64.0604,-145.7058,928
